,name,rating
0,LeBron James,98
1,Kevin Durant,95
2,Chris Paul,91
3,Tim Duncan,90
4,Carmelo Anthony,89
5,Stephen Curry,89
6,Paul George,89
7,Kevin Love,89
8,Kobe Bryant,89
9,LaMarcus Aldridge,88
10,Anthony Davis,88
11,James Harden,88
12,Dwight Howard,88
13,Dirk Nowitzki,88
14,Tony Parker,88
15,Derrick Rose,88
16,Russell Westbrook,88
17,Blake Griffin,87
18,Al Jefferson,87
19,Damian Lillard,87
20,Joakim Noah,87
21,Rajon Rondo,87
22,DeMarcus Cousins,86
23,Kyrie Irving,86
24,Dwyane Wade,86
25,John Wall,86
26,Marc Gasol,85
27,Kawhi Leonard,85
28,Kyle Lowry,85
29,Paul Millsap,85
30,Chris Bosh,84
31,Goran Dragic,84
32,Serge Ibaka,84
33,Ty Lawson,84
34,Zach Randolph,84
35,Lance Stephenson,84
36,Deron Williams,84
37,Mike Conley,83
38,DeMar DeRozan,83
39,Andre Drummond,83
40,Manu Ginobili,83
41,Al Horford,83
42,Brook Lopez,83
43,Monta Ellis,82
44,Pau Gasol,82
45,Rudy Gay,82
46,Jrue Holiday,82
47,Andre Iguodala,82
48,Joe Johnson,82
49,David Lee,82
50,Klay Thompson,82
51,Kemba Walker,82
52,Eric Bledsoe,81
53,Kenneth Faried,81
54,Marcin Gortat,81
55,Gordon Hayward,81
56,DeAndre Jordan,81
57,Nikola Pekovic,81
58,Paul Pierce,81
59,Andrew Bogut,80
60,Jimmy Butler,80
61,Michael Carter-Williams,80
62,Jamal Crawford,80
63,Taj Gibson,80
64,Roy Hibbert,80
65,Nenê,80
66,Brandon Jennings,80
67,Greg Monroe,80
68,Isaiah Thomas,80
69,Nikola Vucevic,80
70,David West,80
71,Josh Smith,80
72,Nicolas Batum,79
73,Tyson Chandler,79
74,Darren Collison,79
75,Luol Deng,79
76,Eric Gordon,79
77,Brandon Knight,79
78,Chandler Parsons,79
79,Ricky Rubio,79
80,Kevin Martin,79
81,Larry Sanders,79
82,Arron Afflalo,78
83,Tony Allen,78
84,Trevor Ariza,78
85,Patrick Beverley,78
86,Avery Bradley,78
87,Jose Calderon,78
88,Wilson Chandler,78
89,Boris Diaw,78
90,Tyreke Evans,78
91,Derrick Favors,78
92,Gerald Green,78
93,Jeff Green,78
94,Danny Green,78
95,Gerald Henderson,78
96,George Hill,78
97,Reggie Jackson,78
98,Kyle Korver,78
99,Wesley Matthews,78
100,Markieff Morris,78
101,Victor Oladipo,78
102,Jabari Parker,78
103,Miles Plumlee,78
104,JR Smith,78
105,Jared Sullinger,78
106,Jeff Teague,78
107,Jonas Valanciunas,78
108,Dion Waiters,78
109,Nick Young,78
110,Thaddeus Young,78
111,Ryan Anderson,77
112,Bradley Beal,77
113,Vince Carter,77
114,Joel Embiid,77
115,Danilo Gallinari,77
116,Kevin Garnett,77
117,Draymond Green,77
118,Tim Hardaway Jr,77
119,Amir Johnson,77
120,Terrence Jones,77
121,Michael Kidd-Gilchrist,77
122,Jeremy Lin,77
123,Robin Lopez,77
124,Patrick Mills,77
125,Mason Plumlee,77
126,JJ Redick,77
127,Luis Scola,77
128,Iman Shumpert,77
129,Tiago Splitter,77
130,Andrew Wiggins,77
131,Louis Williams,77
132,OJ Mayo,77
133,Shawn Marion,77
134,Amare Stoudemire,77
135,JJ Hickson,77
136,Omer Asik,76
137,DJ Augustin,76
138,Harrison Barnes,76
139,Matt Barnes,76
140,Alec Burks,76
141,Channing Frye,76
142,Tobias Harris,76
143,Spencer Hawes,76
144,Jordan Hill,76
145,Courtney Lee,76
146,Nerlens Noel,76
147,Julius Randle,76
148,Terrence Ross,76
149,Marcus Smart,76
150,Tristan Thompson,76
151,Marcus Thornton,76
152,PJ Tucker,76
153,Evan Turner,76
154,Greivis Vasquez,76
155,Maurice Williams,76
156,Nate Robinson,76
157,Steve Nash,76
158,Andre Miller,76
159,Kirk Hinrich,76
160,Danny Granger,76
161,Caron Butler,76
162,Chris Kaman,76
163,Samuel Dalembert,76
164,Chris Andersen,75
165,Brandon Bass,75
166,Marco Belinelli,75
167,Corey Brewer,75
168,Trey Burke,75
169,DeMarre Carroll,75
170,Devin Harris,75
171,John Henson,75
172,Enes Kanter,75
173,Ian Mahinmi,75
174,Doug McDermott,75
175,Jodie Meeks,75
176,Khris Middleton,75
177,Nikola Mirotic,75
178,Marcus Morris,75
179,Patrick Patterson,75
180,Rodney Stuckey,75
181,Anderson Varejao,75
182,CJ Watson,75
183,Brandan Wright,75
184,Mario Chalmers,75
185,Nate Wolters,75
186,Norris Cole,75
187,Gary Neal,75
188,Tayshaun Prince,75
189,Carl Landry,75
190,Thomas Robinson,75
191,Jason Thompson,75
192,Steven Adams,74
193,Al-Farouq Aminu,74
194,Giannis Antetokounmpo,74
195,Jose Juan Barea,74
196,Jerryd Bayless,74
197,Kent Bazemore,74
198,Trevor Booker,74
199,Nick Collison,74
200,Jared Dudley,74
201,Mike Dunleavy,74
202,Dante Exum,74
203,Raymond Felton,74
204,Randy Foye,74
205,Aaron Gordon,74
206,Moe Harkless,74
207,Jarrett Jack,74
208,Shaun Livingston,74
209,Luc Mbah a Moute,74
210,Ray McCallum,74
211,JaVale McGee,74
212,Ben McLemore,74
213,Josh McRoberts,74
214,Mike Miller,74
215,Timofey Mozgov,74
216,Shabazz Napier,74
217,Kelly Olynyk,74
218,Elfrid Payton,74
219,Brian Roberts,74
220,Thabo Sefolosha,74
221,Ramon Sessions,74
222,Kyle Singler,74
223,Nik Stauskas,74
224,Jason Terry,74
225,Beno Udrih,74
226,Tony Wroten,74
227,Kendall Marshall,74
228,Andrei Kirilenko,74
229,Gerald Wallace,74
230,Glen Davis,74
231,Reggie Evans,74
232,Kendrick Perkins,74
233,Kevin Seraphin,74
234,Bismack Biyombo,73
235,Aaron Brooks,73
236,Ed Davis,73
237,Kris Humphries,73
238,Ersan Ilyasova,73
239,Wesley Johnson,73
240,Cory Joseph,73
241,Jeremy Lamb,73
242,CJ Miles,73
243,Anthony Morrow,73
244,Anthony Tolliver,73
245,Marvin Williams,73
246,Cody Zeller,73
247,Jason Richardson,73
248,Xavier Henry,73
249,John Salmons,73
250,Martell Webster,73
251,Tyler Hansbrough,73
252,Matt Bonner,73
253,Michael Beasley,72
254,Bojan Bogdanovic,72
255,Kentavious Caldwell-Pope,72
256,Isaiah Canaan,72
257,Omri Casspi,72
258,Jae Crowder,72
259,Gorgui Dieng,72
260,Evan Fournier,72
261,Udonis Haslem,72
262,Richard Jefferson,72
263,Kosta Koufos,72
264,Zach LaVine,72
265,CJ McCollum,72
266,Jameer Nelson,72
267,Steve Novak,72
268,Pablo Prigioni,72
269,Austin Rivers,72
270,Mike Scott,72
271,Jason Smith,72
272,Tony Snell,72
273,Marreese Speights,72
274,Noah Vonleh,72
275,TJ Warren,72
276,Shane Larkin,72
277,Ben Gordon,72
278,Luke Ridnour,72
279,Jordan Farmar,72
280,Jimmer Fredette,72
281,Dorell Wright,72
282,Andrea Bargnani,72
283,Nick Calathes,72
284,Vitor Faverani,72
285,Jordan Adams,71
286,Alan Anderson,71
287,Troy Daniels,71
288,Wayne Ellington,71
289,Tyler Ennis,71
290,Rudy Gobert,71
291,Gary Harris,71
292,Rodney Hood,71
293,Jonas Jerebko,71
294,Shelvin Mack,71
