,name,rating
0,LeBron James,97
1,Kawhi Leonard,97
2,Giannis Antetokounmpo,96
3,Kevin Durant,96
4,James Harden,96
5,Stephen Curry,95
6,Anthony Davis,94
7,Paul George,93
8,Damian Lillard,92
9,Joel Embiid,91
10,Kyrie Irving,91
11,Nikola Jokic,90
12,Russell Westbrook,90
13,Klay Thompson,89
14,Karl-Anthony Towns,89
15,Jimmy Butler,88
16,Rudy Gobert,88
17,Blake Griffin,88
18,Donovan Mitchell,88
19,Kemba Walker,88
20,Luka Doncic,87
21,LaMarcus Aldridge,87
22,Bradley Beal,87
23,Mike Conley,87
24,DeMar DeRozan,87
25,CJ McCollum,87
26,Victor Oladipo,87
27,Kristaps Porzingis,87
28,D'Angelo Russell,87
29,Pascal Siakam,87
30,Ben Simmons,87
31,De'Aaron Fox,86
32,Devin Booker,86
33,DeMarcus Cousins,86
34,Andre Drummond,86
35,Draymond Green,86
36,Jrue Holiday,86
37,Nikola Vucevic,86
38,John Wall,86
39,Jayson Tatum,85
40,Trae Young,85
41,Eric Bledsoe,85
42,Clint Capela,85
43,Tobias Harris,85
44,Al Horford,85
45,Zach LaVine,85
46,Kyle Lowry,85
47,Khris Middleton,85
48,Chris Paul,85
49,John Collins,84
50,Buddy Hield,84
51,Kyle Kuzma,84
52,Jamal Murray,84
53,Louis Williams,84
54,Marvin Bagley,83
55,Bojan Bogdanovic,83
56,Malcolm Brogdon,83
57,Danilo Gallinari,83
58,Montrezl Harrell,83
59,Kevin Love,83
60,Lauri Markkanen,83
61,Jusuf Nurkic,83
62,Julius Randle,83
63,Marc Gasol,82
64,Steven Adams,82
65,Deandre Ayton,82
66,Spencer Dinwiddie,82
67,Jaren Jackson Jr,82
68,Paul Millsap,82
69,Marcus Smart,82
70,Myles Turner,82
71,Serge Ibaka,81
72,Zion Williamson,81
73,Rudy Gay,81
74,Aaron Gordon,81
75,Brandon Ingram,81
76,DeAndre Jordan,81
77,Domantas Sabonis,81
78,Jonas Valanciunas,81
79,Hassan Whiteside,81
80,Derrick Rose,80
81,Robert Covington,80
82,Derrick Favors,80
83,Gordon Hayward,80
84,Reggie Jackson,80
85,Enes Kanter,80
86,Otto Porter,80
87,JJ Redick,80
88,Josh Richardson,80
89,TJ Warren,80
90,Ja Morant,79
91,Bam Adebayo,79
92,Jarrett Allen,79
93,Lonzo Ball,79
94,Harrison Barnes,79
95,Patrick Beverley,79
96,Jaylen Brown,79
97,Willie Cauley-Stein,79
98,Goran Dragic,79
99,Shai Gilgeous-Alexander,79
100,Gary Harris,79
101,Joe Ingles,79
102,Jeremy Lamb,79
103,Brook Lopez,79
104,JaVale McGee,79
105,Mitchell Robinson,79
106,Terrence Ross,79
107,Tristan Thompson,79
108,PJ Tucker,79
109,Fred VanVleet,79
110,Andrew Wiggins,79
111,Thaddeus Young,79
112,RJ Barrett,78
113,Ricky Rubio,78
114,Will Barton,78
115,Bogdan Bogdanovic,78
116,Thomas Bryant,78
117,Wendell Carter,78
118,Jordan Clarkson,78
119,Evan Fournier,78
120,Eric Gordon,78
121,JaMychal Green,78
122,Joe Harris,78
123,Andre Iguodala,78
124,Caris LeVert,78
125,Marcus Morris,78
126,Dejounte Murray,78
127,Larry Nance Jr,78
128,Kelly Olynyk,78
129,Kelly Oubre,78
130,Jabari Parker,78
131,Bobby Portis,78
132,Terry Rozier,78
133,Dennis Schroeder,78
134,Jeff Teague,78
135,Derrick White,78
136,Justise Winslow,78
137,Darius Garland,77
138,De'Andre Hunter,77
139,Al-Farouq Aminu,77
140,Mo Bamba,77
141,Nicolas Batum,77
142,Malik Beasley,77
143,Nemanja Bjelica,77
144,DeMarre Carroll,77
145,Ed Davis,77
146,Taj Gibson,77
147,Jerami Grant,77
148,Danny Green,77
149,Tim Hardaway Jr,77
150,Alex Len,77
151,Kevon Looney,77
152,Monte Morris,77
153,Nerlens Noel,77
154,Mason Plumlee,77
155,Jakob Poeltl,77
156,Dwight Powell,77
157,Taurean Prince,77
158,Dario Saric,77
159,Collin Sexton,77
160,Dennis Smith,77
161,Cody Zeller,77
162,Ivica Zubac,77
163,Jarrett Culver,77
164,Willy Hernangomez,76
165,Trevor Ariza,76
166,DJ Augustin,76
167,Jose Juan Barea,76
168,Michael Beasley,76
169,Davis Bertans,76
170,Avery Bradley,76
171,Miles Bridges,76
172,Jalen Brunson,76
173,Kentavious Caldwell-Pope,76
174,Jae Crowder,76
175,Dewayne Dedmon,76
176,Gorgui Dieng,76
177,Gerald Green,76
178,Jeff Green,76
179,Rodney Hood,76
180,Kevin Huerter,76
181,Ersan Ilyasova,76
182,Jonathan Isaac,76
183,Josh Jackson,76
184,Frank Kaminsky,76
185,Michael Kidd-Gilchrist,76
186,Kevin Knox,76
187,Meyers Leonard,76
188,Wesley Matthews,76
189,Emmanuel Mudiay,76
190,Jahlil Okafor,76
191,Elfrid Payton,76
192,Michael Porter,76
193,Austin Rivers,76
194,Andre Roberson,76
195,Rajon Rondo,76
196,Landry Shamet,76
